0.1	8.014032	69	
0.2	8.037282	74	
0.3	8.060600	115	
0.4	8.083986	134	
0.5	8.107441	189	
0.6	8.130965	175	
0.7	8.154558	303	
0.8	8.178220	408	
0.9	8.201951	492	
1.0	8.225752	583	
1.1	8.249622	674	
1.2	8.273563	645	
1.3	8.297574	702	
1.4	8.321655	701	
1.5	8.345807	647	
1.6	8.370030	649	
1.7	8.394241	668	
1.8	8.418606	607	
1.9	8.443042	578	
2.0	8.467550	582	
2.1	8.492129	539	
2.2	8.516781	549	
2.3	8.541505	498	
2.4	8.566302	522	
2.5	8.591255	492	
2.6	8.616198	521	
2.7	8.641215	498	
2.8	8.666304	529	
2.9	8.691467	548	
3.0	8.716704	508	
3.1	8.741930	493	
3.2	8.767315	461	
3.3	8.792774	492	
3.4	8.818308	487	
3.5	8.843917	445	
3.6	8.869689	497	
3.7	8.895449	475	
3.8	8.921285	481	
3.9	8.947197	452	
4.0	8.973097	488	
4.1	8.999161	470	
4.2	9.025301	470	
4.3	9.051519	460	
4.4	9.077813	435	
4.5	9.104274	458	
4.6	9.130723	495	
4.7	9.157251	429	
4.8	9.183766	426	
4.9	9.210449	410	
5.0	9.237210	431	
5.1	9.264050	426	
5.2	9.291060	451	
5.3	9.318059	407	
5.4	9.345137	470	
5.5	9.372203	433	
5.6	9.399440	412	
5.7	9.426756	448	
5.8	9.454246	410	
5.9	9.481725	393	
6.0	9.509284	385	
6.1	9.536832	369	
6.2	9.564553	352	
6.3	9.592355	400	
6.4	9.620334	358	
6.5	9.648301	332	
6.6	9.676351	351	
6.7	9.704388	326	
6.8	9.732602	335	
6.9	9.760899	340	
7.0	9.789375	317	
7.1	9.817840	342	
7.2	9.846389	361	
7.3	9.874925	378	
7.4	9.903641	461	
7.5	9.932539	507	
7.6	9.961425	616	
7.7	9.990397	602	
7.8	10.019355	587	
7.9	10.048497	648	
8.0	10.077823	634	
8.1	10.107137	694	
8.2	10.136439	671	
8.3	10.165926	654	
8.4	10.195499	648	
8.5	10.225260	716	
8.6	10.255009	651	
8.7	10.284745	671	
8.8	10.314668	667	
8.9	10.344781	626	
9.0	10.374883	626	
9.1	10.404971	691	
9.2	10.435249	646	
9.3	10.465718	669	
9.4	10.496176	747	
9.5	10.526621	696	
9.6	10.557258	703	
9.7	10.588088	765	
9.8	10.618908	770	
9.9	10.649714	818	
10.0	10.680713	836	
10.1	10.711909	864	
10.2	10.743094	814	
10.3	10.774265	794	
10.4	10.805632	814	
10.5	10.837198	774	
10.6	10.868752	777	
10.7	10.900293	747	
10.8	10.932032	678	
10.9	10.963973	691	
11.0	10.995795	630	
11.1	11.027816	619	
11.2	11.060040	550	
11.3	11.092252	523	
11.4	11.124451	509	
11.5	11.156852	471	
11.6	11.189459	458	
11.7	11.221945	433	
11.8	11.254635	421	
11.9	11.287531	431	
12.0	11.320416	394	
12.1	11.353286	371	
12.2	11.386364	402	
12.3	11.419652	394	
12.4	11.452815	359	
12.5	11.486187	317	
12.6	11.519771	322	
12.7	11.553230	283	
12.8	11.586898	293	
12.9	11.620780	276	
13.0	11.654651	266	
13.1	11.688506	232	
13.2	11.722690	247	
13.3	11.756862	224	
13.4	11.791018	203	
13.5	11.825506	194	
13.6	11.859982	214	
13.7	11.894443	221	
13.8	11.929238	246	
13.9	11.964022	240	
14.0	11.998790	283	
14.1	12.033894	308	
14.2	12.068988	382	
14.3	12.104066	419	
14.4	12.139483	575	
14.5	12.174772	657	
14.6	12.210280	746	
14.7	12.246014	815	
14.8	12.281616	1028	
14.9	12.317441	1108	
15.0	12.353494	1133	
15.1	12.389413	1274	
15.2	12.425558	1447	
15.3	12.461933	1587	
15.4	12.498172	1956	
15.5	12.534761	2283	
15.6	12.571339	2716	
15.7	12.607901	3299	
15.8	12.644817	3971	
15.9	12.681598	4811	
16.0	12.718609	5876	
16.1	12.755855	7140	
16.2	12.792964	8468	
16.3	12.830430	10010	
16.4	12.867885	11896	
16.5	12.905324	13690	
16.6	12.943126	16001	
16.7	12.980789	17906	
16.8	13.018814	20108	
16.9	13.056829	23429	
17.0	13.094827	26228	
17.1	13.133193	29157	
17.2	13.171420	31933	
17.3	13.209884	35089	
17.4	13.248595	38429	
17.5	13.287161	42598	
17.6	13.326100	44926	
17.7	13.364898	48098	
17.8	13.404067	50912	
17.9	13.443227	52758	
18.0	13.482370	54606	
18.1	13.521891	56144	
18.2	13.561269	57739	
18.3	13.601024	58430	
18.4	13.640769	59900	
18.5	13.680497	61853	
18.6	13.720610	63851	
18.7	13.760576	65205	
18.8	13.800927	67045	
18.9	13.841133	68322	
19.0	13.881723	70568	
19.1	13.922303	72334	
19.2	13.962866	74935	
19.3	14.003823	76507	
19.4	14.044629	79526	
19.5	14.085828	82577	
19.6	14.126879	84859	
19.7	14.168323	88181	
19.8	14.209619	90378	
19.9	14.251172	93096	
20.0	14.292991	94994	
20.1	14.334655	96254	
20.2	14.376722	98483	
20.3	14.418635	99627	
20.4	14.460952	100059	
20.5	14.503117	101676	
20.6	14.545686	102796	
20.7	14.588104	103356	
20.8	14.630926	102657	
20.9	14.673739	102841	
21.0	14.716534	101519	
21.1	14.759744	101446	
21.2	14.802795	101379	
21.3	14.846263	99544	
21.4	14.889572	96441	
21.5	14.933299	96401	
21.6	14.976868	95208	
21.7	15.020855	92297	
21.8	15.064685	88582	
21.9	15.108935	85319	
22.0	15.153028	84644	
22.1	15.197542	81043	
22.2	15.241899	79793	
22.3	15.286679	77117	
22.4	15.331302	76000	
22.5	15.376349	75824	
22.6	15.421240	74101	
